kabupaten,tahun,A_Pertanian_KP,B_Pertambangan,C_Industri_Pengolahan,D_Pengadaan_LG,E_Pengadaan_Air_dll,F_Konstruksi,G_Perdagangan_Besar_dll,H_Transportasi,I_Penyediaan_AkMamin,J_Infokom,K_Jasa_Keuangan,L_Real_Estate,M_N_Jasa_Perusahaan,O_Administrasi_Pem,P_Jasa_Pendidikan,Q_Jasa_KesSos,R_S_T_U_Jasa_Lain,PDRB,ipm,miskin,pertumbuhan,gini,unemploy,pop_ribujiwa,pdrb_perkap,pct_formal,pend_miskin,Pertumbuhan_Inklusif,Kategori_Inklusif
Barru,2015,1368.22,115.48,200.42,4.68,3.76,537.84,357.57,85.2,34.99,193.05,99.66,125.61,0.93,297.07,152.31,93.06,24.38,3694.24,68.64,9.42,6.32,0.38,7.68,171.14,28.87,26.6,16.1,0.5794,CUKUP INKLUSIF
Barru,2016,1436.85,119.73,212.67,5.4,4.05,580.17,389.85,91.69,36.61,211.94,115.17,135.71,0.96,293.58,158.64,98.15,25.17,3916.34,69.07,9.45,6.01,0.36,7.68,171.98,31.75,24.19,16.24,0.5941,CUKUP INKLUSIF
Barru,2017,1501.21,125.04,222.58,5.7,4.28,648.67,422.9,98.83,39.17,232.78,117.76,145.36,1.04,309.79,165.05,102.55,27.29,27.29,69.56,9.71,6.48,0.39,5.6,172.69,34.51,16.23,16.76,0.5846,CUKUP INKLUSIF
Barru,2018,1581.31,130.68,232.09,6.1,4.62,714.3,460.26,111.5,43.31,255.89,120.72,153.34,1.14,338.93,173.78,108.28,30.29,4466.54,70.05,9.04,7.11,0.38,5.38,173.36,38.09,36.34,15.68,0.6069,CUKUP INKLUSIF
Barru,2019,1652.72,138.15,253.7,6.39,5.1,785.01,505.36,126.16,48.28,281.43,124.64,155.83,1.25,375.96,186.48,117.3,33.68,4797.43,70.6,8.57,7.41,0.36,5.39,173.97,41.8,46.07,14.92,0.6321,CUKUP INKLUSIF
Barru,2020,1662.67,139.11,247.14,6.8,5.79,792.83,497.56,112.19,48.24,313.08,127.94,160.0,1.18,371.71,195.61,125.65,31.6,4839.12,71.0,8.26,0.87,0.36,6.39,184.45,40.36,43.1,14.44,0.5371,CUKUP INKLUSIF
Barru,2021,1751.02,144.1,259.09,7.28,6.08,825.6,524.82,121.03,50.57,332.02,136.88,163.82,1.24,376.89,200.9,134.24,34.41,5069.99,71.13,8.68,4.77,0.36,6.74,185.38,43.46,42.87,15.18,0.5978,CUKUP INKLUSIF
Barru,2022,1829.94,148.21,282.11,7.41,6.69,846.17,558.81,139.15,58.43,354.82,138.06,172.78,1.44,395.4,207.27,145.4,37.22,5329.31,71.53,8.4,5.11,0.37,5.32,186.68,47.56,43.43,14.73,0.6001,CUKUP INKLUSIF
Barru,2023,1843.85,158.11,289.19,8.67,6.98,897.62,586.68,149.72,63.59,385.96,133.49,185.31,1.56,395.14,212.33,157.12,40.93,5516.25,72.36,8.46,3.51,0.37,5.89,187.95,49.97,45.46,14.88,0.5848,CUKUP INKLUSIF
Barru,2024,1924.07,164.81,302.01,8.51,7.1,926.92,622.41,158.91,67.45,410.45,134.4,196.49,1.67,412.99,226.57,176.25,47.34,5788.38,73.06,8.31,4.93,0.31,6.42,189.21,52.27,49.95,14.64,0.658,CUKUP INKLUSIF
Barru,2025,2101.56,163.93,321.13,8.73,7.28,955.74,636.14,163.6,67.27,422.22,138.82,207.83,1.76,428.65,231.66,178.5,52.08,6086.9,75.41,8.0,5.16,0.35,5.07,190.5,56.39,44.81,14.13,0.658,CUKUP INKLUSIF
Bone,2010,5369.97,256.48,773.33,12.26,5.89,1080.19,1324.66,273.41,61.39,214.2,283.75,381.51,7.41,622.82,267.79,83.61,37.25,11055.9,59.69,14.08,7.61,0.4,6.64,717.68,15.36,28.5,101.1,0.4862,CUKUP INKLUSIF
Bone,2011,5605.31,278.21,839.19,13.15,6.5,1167.6,416.22,1428.79,297.08,66.57,231.53,318.71,8.04,657.74,295.46,93.41,40.29,11763.8,60.21,12.67,6.4,0.39,5.98,724.92,17.7,28.5,92.1,0.4809,CUKUP INKLUSIF
Bone,2012,5953.03,318.74,904.07,16.59,6.72,1281.68,457.41,1603.57,319.41,72.25,265.01,367.06,8.73,667.58,325.77,118.68,43.81,12730.12,60.77,12.25,8.21,0.39,3.51,729.52,20.33,28.5,89.5,0.5145,CUKUP INKLUSIF
Bone,2013,6200.48,352.96,968.56,16.8,7.05,1408.36,482.65,1732.89,343.47,79.75,294.9,406.32,9.4,684.24,357.22,140.16,46.64,13531.85,61.4,11.92,6.3,0.39,3.8,734.12,22.79,28.5,87.7,0.4924,CUKUP INKLUSIF
Bone,2014,7025.79,403.6,1047.18,20.56,7.05,1435.94,519.07,1883.11,374.86,85.16,303.91,429.13,10.0,697.33,375.49,153.46,49.74,14821.38,62.09,10.88,9.53,0.4,5.0,738.51,26.9,28.5,80.5,0.5417,CUKUP INKLUSIF
Bone,2015,7654.0,458.87,1123.61,19.8,7.08,1550.59,557.38,2000.49,401.17,88.62,335.64,462.26,10.66,762.83,399.96,165.21,53.7,16051.87,63.11,10.12,8.3,0.39,4.36,742.53,31.36,28.5,75.01,0.5415,CUKUP INKLUSIF
