kabupaten;tahun;Pelayanan_Umum;Ketertiban_aman;Ekonomi;Lingk_hidup;Perum_Fasum;Kesehatan;Pariwisata;Pendidikan;Perlindungan_Sosial;Total;A_Pertanian_KP;B_Pertambangan;C_Industri_Pengolahan;D_Pengadaan_LG;E_Pengadaan_Air_dll;F_Konstruksi;G_Perdagangan_Besar_dll;H_Transportasi;I_Penyediaan_AkMamin;J_Infokom;K_Jasa_Keuangan;L_Real_Estate;M_N_Jasa_Perusahaan;O_Administrasi_Pem;P_Jasa_Pendidikan;Q_Jasa_KesSos;R_S_T_U_Jasa_Lain;PDRB;ipm;miskin;pertumbuhan;gini;unemploy;pop_ribujiwa;pdrb_perkap;pct_formal;pend_miskin
Barru;2019;288,5;11,4;36,2;13,8;151,9;174,4;7,8;290,0;18,5;992,4;1652,72;138,15;253,7;6,39;5,1;785,01;505,36;126,16;48,28;281,43;124,64;155,83;1,25;375,96;186,48;117,3;33,68;4797,43;70,6;8,57;7,41;0,36;5,39;173,97;41,8;46,07;14,92
Barru;2020;295,0;10,5;33,3;9,5;86,1;189,6;6,5;284,4;8,9;923,9;1662,67;139,11;247,14;6,8;5,79;792,83;497,56;112,19;48,24;313,08;127,94;160;1,18;371,71;195,61;125,65;31,6;4839,12;71;8,26;0,87;0,36;6,39;184,45;40,36;43,1;14,44
Barru;2021;251,0;12,1;112,4;17,7;10,9;175,6;6,0;294,1;9,5;889,4;1751,02;144,1;259,09;7,28;6,08;825,6;524,82;121,03;50,57;332,02;136,88;163,82;1,24;376,89;200,9;134,24;34,41;5069,99;71,13;8,68;4,77;0,36;6,74;185,38;43,46;42,87;15,18
Barru;2022;234,3;10,5;129,3;11,0;13,1;215,7;4,9;270,1;5,0;894,0;1829,94;148,21;282,11;7,41;6,69;846,17;558,81;139,15;58,43;354,82;138,06;172,78;1,44;395,4;207,27;145,4;37,22;5329,31;71,53;8,4;5,11;0,37;5,32;186,68;47,56;43,43;14,73
Barru;2023;244,0;10,0;125,7;7,5;11,8;201,0;3,9;299,5;3,4;906,8;1843,85;158,11;289,19;8,67;6,98;897,62;586,68;149,72;63,59;385,96;133,49;185,31;1,56;395,14;212,33;157,12;40,93;5516,25;72,36;8,46;3,51;0,37;5,89;187,95;49,97;45,46;14,88
Barru;2024;270,4;0,0;0,0;0,0;0,0;220,1;4,0;309,4;0,0;1085,3;1924,07;164,81;302,01;8,51;7,1;926,92;622,41;158,91;67,45;410,45;134,4;196,49;1,67;412,99;226,57;176,25;47,34;5788,38;73,06;8,31;4,93;0,31;6,42;189,21;52,27;49,95;14,64
Barru;2025;266,9;0,0;0,0;0,0;0,0;232,8;2,9;312,1;0,0;1094,0;2101,56;163,93;321,13;8,73;7,28;955,74;636,14;163,6;67,27;422,22;138,82;207,83;1,76;428,65;231,66;178,5;52,08;6086,9;75,41;8;5,16;0,35;5,07;190,5;56,39;44,81;14,13
Bone;2014;532,1;14,2;94,3;40,7;121,4;177,9;3,5;494,2;8,5;1487,0;7025,79;403,6;1047,18;20,56;7,05;1435,94;519,07;1883,11;374,86;85,16;303,91;429,13;10;697,33;375,49;153,46;49,74;14821,38;62,09;10,88;9,53;0,4;5;738,51;26,9;28,5;80,5
Bone;2015;824,4;19,7;126,6;21,6;135,5;223,9;7,0;471,6;11,5;1841,8;7654;458,87;1123,61;19,8;7,08;1550,59;557,38;2000,49;401,17;88,62;335,64;462,26;10,66;762,83;399,96;165,21;53,7;16051,87;63,11;10,12;8,3;0,39;4,36;742,53;31,36;28,5;75,01
Bone;2016;122,1;250,6;21,1;11,2;7,0;539,9;478,5;11,3;49,3;1491,1;8454,42;507,05;1225,64;22,59;7,41;1661,7;571,17;2213,68;413,91;94,56;372,03;522,87;11,42;754,19;429,19;177,88;58,48;17498,18;63,86;10,07;9,01;0,39;4,36;745,86;35,15;28,5;75,09
Bone;2017;903,2;22,7;87,6;276,8;12,2;384,2;9,1;529,3;15,1;2240,4;9164,71;563;1315,92;23,89;7,79;1815,31;598,21;2436,76;442,96;105,76;410,73;550,05;12,33;793,69;470,4;194,12;64,92;18970,53;64,16;10,28;8,41;0,39;4,55;748,71;39,04;28,5;77,13
Bone;2018;1056,8;26,5;84,2;11,0;176,1;376,9;11,7;482,2;14,4;2239,7;9972,95;624,83;1347,7;25,41;8,46;1968,53;626,06;2726,07;493,69;119,38;459,37;585,16;13,54;885,47;517,06;213,08;73,29;20660,07;65,04;10,55;8,91;0,41;2,82;751,32;43,87;30,16;79,57
Bone;2019;1059,1;27,4;81,5;12,9;178,9;450,5;4,7;534,1;15,7;2364,9;10305,18;682,79;1571,69;26,45;9,04;2157,57;664,39;2992,5;550,42;130,02;502,21;602,64;14,98;1027,01;556,41;234,3;80,44;22108,04;65,67;10,06;7,01;0,37;3,01;753,69;47,81;29,82;76,25
